dataset,inserted,similarity
dblp_to_amalgam1,0,0.6309734513274337
dblp_to_amalgam1,10,0.6767441860465117
dblp_to_amalgam1,20,0.7124137931034483
dblp_to_amalgam1,30,0.7409937888198758
dblp_to_amalgam1,40,0.764406779661017
dblp_to_amalgam1,50,0.7839378238341969
dblp_to_amalgam1,60,0.8004784688995216
dblp_to_amalgam1,70,0.8146666666666667
dblp_to_amalgam1,80,0.8269709543568464
dblp_to_amalgam1,90,0.8377431906614786
dblp_to_amalgam1,100,0.8472527472527472
amalgam1_to_amalgam3,0,0.838302752293578
amalgam1_to_amalgam3,10,0.8476224783861671
amalgam1_to_amalgam3,20,0.8559264305177112
amalgam1_to_amalgam3,30,0.8633720930232558
amalgam1_to_amalgam3,40,0.870085995085995
amalgam1_to_amalgam3,50,0.8761709601873536
amalgam1_to_amalgam3,60,0.8817114093959731
amalgam1_to_amalgam3,70,0.8867773019271948
amalgam1_to_amalgam3,80,0.8914271047227926
amalgam1_to_amalgam3,90,0.8957100591715976
amalgam1_to_amalgam3,100,0.8996679316888045
flighthotel,0,0.29559748427672955
flighthotel,10,0.6489028213166145
flighthotel,20,0.7661795407098121
flighthotel,30,0.8247261345852895
flighthotel,40,0.8598247809762203
flighthotel,50,0.8832116788321168
flighthotel,60,0.8999106344950849
flighthotel,70,0.9124315871774824
flighthotel,80,0.9221681723419041
flighthotel,90,0.9299562226391495
flighthotel,100,0.9363274587833996
persondata,0,0.4126984126984127
persondata,10,0.7412587412587412
persondata,20,0.8340807174887892
persondata,30,0.8778877887788779
persondata,40,0.9033942558746736
persondata,50,0.9200863930885529
persondata,60,0.9318600368324125
persondata,70,0.9406099518459069
persondata,80,0.9473684210526315
persondata,90,0.9527458492975734
persondata,100,0.9571263035921205
